!!SBtab	SBtabVersion='1.0' TableType='QuantityMatrix' TableName='E1' 'TableTitle='' Document='MGLuRd'		
!TimePoint	!Time	>Y1	SD_Y1
E1T0	0	0	0.01
E1T1	0.02	0	0.01
E1T2	0.04	0	0.01
E1T3	0.06	0	0.01
E1T4	0.08	0	0.01
E1T5	0.1	0	0.01
E1T6	0.96	0.19826	0.10501
E1T7	0.98	0.19826	0.10501
E1T8	1	0.19826	0.10501
E1T9	1.02	0.11627	0.090486
E1T10	1.04	0.085417	0.074173
E1T11	1.06	0.064912	0.061747
E1T12	1.08	0.050365	0.051859
E1T13	1.1	0.03966	0.043829
E1T14	1.12	0.031589	0.037226
E1T15	1.14	0.025392	0.031751
E1T16	1.16	0.020568	0.027179
E1T17	1.18	0.01677	0.023341
E1T18	1.2	0.013751	0.020103
E1T19	1.22	0.011332	0.01736
E1T20	1.24	0.0093812	0.015028
E1T21	1.26	0.0077974	0.013039
E1T22	1.28	0.0065048	0.011337
E1T23	1.3	0.0054448	0.01
E1T24	1.32	0.0045717	0.01
E1T25	1.34	0.0038496	0.01
E1T26	1.36	0.0032502	0.01
E1T27	1.38	0.002751	0.01
E1T28	1.4	0.0023339	0.01
E1T29	1.42	0.0019844	0.01
E1T30	1.44	0.0016908	0.01
E1T31	1.46	0.0014434	0.01
E1T32	1.48	0.0012345	0.01
E1T33	1.5	0.0010577	0.01
E1T34	1.52	0.00090778	0.01
E1T35	1.54	0.00078034	0.01
E1T36	1.56	0.00067182	0.01
E1T37	1.58	0.00057924	0.01
E1T38	1.6	0.00050012	0.01
E1T39	1.62	0.00043239	0.01
E1T40	1.64	0.00037432	0.01
E1T41	1.66	0.00032445	0.01
E1T42	1.68	0.00028156	0.01
E1T43	1.7	0.00024463	0.01
E1T44	1.72	0.00021278	0.01
E1T45	1.74	0.00018527	0.01
E1T46	1.76	0.00016149	0.01
E1T47	1.78	0.0001409	0.01
E1T48	1.8	0.00012306	0.01
E1T49	1.82	0.00010758	0.01
E1T50	1.84	9.4137e-05	0.01
E1T51	1.86	8.2445e-05	0.01
E1T52	1.88	7.2268e-05	0.01
E1T53	1.9	6.34e-05	0.01
E1T54	1.92	5.5666e-05	0.01
E1T55	1.94	4.8915e-05	0.01
E1T56	1.96	4.3015e-05	0.01
E1T57	1.98	3.7856e-05	0.01
