!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E13'  TableTitle=''  Document='MGluR'				
!TimePoint	!Time	>Y8	SD_Y8	>Y10	SD_Y10
E13T0	0	1	0.01	1	0.01
E13T1	1	1	0.01	1	0.01
E13T2	2	1	0.01	1	0.01
E13T3	3	1	0.01	1	0.01
E13T4	4	1	0.01	1	0.01
E13T5	5	1	0.01	1	0.01
E13T6	6	1	0.01	1	0.01
E13T7	7	1	0.01	1	0.01
E13T8	8	1	0.01	1	0.01
E13T9	9	1	0.01	1	0.01
E13T10	10	1	0.01	1	0.01
E13T11	11	1	0.01	1	0.01
E13T12	12	1	0.01	1	0.01
E13T13	13	1	0.01	1	0.01
E13T14	14	1	0.01	1	0.01
E13T15	15	1	0.01	1	0.01
E13T16	16	1	0.01	1	0.01
E13T17	17	1	0.01	1	0.01
E13T18	18	1	0.01	1	0.01
E13T19	19	1	0.01	1	0.01
E13T20	20	1	0.01	1	0.01
E13T21	21	0.97377	0.13839	1	0.01
E13T22	22	0.55184	0.40161	0.96513	0.1751
E13T23	23	0.48922	0.37564	0.64064	0.36319
E13T24	24	0.44143	0.35511	0.54018	0.33514
E13T25	25	0.40205	0.33748	0.46459	0.31001
E13T26	26	0.36846	0.3218	0.40415	0.28689
E13T27	27	0.33921	0.30762	0.3543	0.2655
E13T28	28	0.31339	0.29463	0.31236	0.24565
E13T29	29	0.29034	0.28266	0.27659	0.22721
E13T30	30	0.26962	0.27156	0.24576	0.21007
E13T31	31	0.25085	0.26123	0.21896	0.19413
E13T32	32	0.23378	0.25158	0.1955	0.17929
E13T33	33	0.21817	0.24255	0.17485	0.16547
E13T34	34	0.20385	0.23407	0.15659	0.15259
E13T35	35	0.19066	0.2261	0.14037	0.14058
E13T36	36	0.17849	0.2186	0.12591	0.12937
E13T37	37	0.16722	0.21153	0.11297	0.1189
E13T38	38	0.15677	0.20486	0.10137	0.10912
E13T39	39	0.14705	0.19856	0.090934	0.099976
E13T40	40	0.13799	0.19261	0.081523	0.091425
E13T41	41	0.12954	0.18698	0.073019	0.083425
E13T42	42	0.12165	0.18166	0.065318	0.075938
E13T43	43	0.11425	0.17662	0.058331	0.068928
E13T44	44	0.10733	0.17184	0.051981	0.062364
E13T45	45	0.10083	0.16732	0.046201	0.056216
E13T46	46	0.094718	0.16304	0.040932	0.050458
E13T47	47	0.088973	0.15899	0.03612	0.045065
E13T48	48	0.083563	0.15514	0.031722	0.040015
E13T49	49	0.078464	0.1515	0.027695	0.035287
E13T50	50	0.073654	0.14805	0.024005	0.030862
E13T51	51	0.069113	0.14477	0.020619	0.026723
