!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E14'  TableTitle=''  Document='MGluR'		
!TimePoint	!Time	>Y8	SD_Y8
E14T0	0	1	0.1
E14T1	0.1	1	0.1
E14T2	0.2	1	0.1
E14T3	0.3	1	0.1
E14T4	0.4	1	0.1
E14T5	0.5	1	0.1
E14T6	0.6	1	0.1
E14T7	0.7	1	0.1
E14T8	0.8	1	0.1
E14T9	0.9	1	0.1
E14T10	1	1	0.1
E14T11	1.1	1	0.1
E14T12	1.2	1	0.1
E14T13	1.3	1	0.1
E14T14	1.4	1	0.1
E14T15	1.5	1	0.1
E14T16	1.6	1	0.1
E14T17	1.7	1	0.1
E14T18	1.8	1	0.1
E14T19	1.9	1	0.1
E14T20	2	1	0.1
E14T21	2.1	1	0.1
E14T22	2.2	1	0.1
E14T23	2.3	1	0.1
E14T24	2.4	1	0.1
E14T25	2.5	1	0.1
E14T26	2.6	1	0.1
E14T27	2.7	1	0.1
E14T28	2.8	1	0.1
E14T29	2.9	1	0.1
E14T30	3	1	0.1
E14T31	3.1	1	0.1
E14T32	3.2	1	0.1
E14T33	3.3	1	0.1
E14T34	3.4	1	0.1
E14T35	3.5	1	0.1
E14T36	3.6	1	0.1
E14T37	3.7	1	0.1
E14T38	3.8	1	0.1
E14T39	3.9	1	0.1
E14T40	4	1	0.1
E14T41	4.1	1	0.1
E14T42	4.2	1	0.1
E14T43	4.3	1	0.1
E14T44	4.4	1	0.1
E14T45	4.5	1	0.1
E14T46	4.6	1	0.1
E14T47	4.7	1	0.1
E14T48	4.8	1	0.1
E14T49	4.9	1	0.1
E14T50	100	0.97424	0.023
E14T51	100.1	0.97424	0.023
E14T52	100.2	0.97424	0.023
E14T53	100.3	0.97424	0.023
E14T54	100.4	0.97424	0.023
E14T55	100.5	0.97424	0.023
E14T56	100.6	0.97424	0.023
E14T57	100.7	0.97424	0.023
E14T58	100.8	0.97424	0.023
E14T59	100.9	0.97424	0.023
E14T60	101	0.97424	0.023
E14T61	101.1	0.97424	0.023
E14T62	101.2	0.97424	0.023
E14T63	101.3	0.97424	0.023
E14T64	101.4	0.97424	0.023
E14T65	101.5	0.97424	0.023
E14T66	101.6	0.97424	0.023
E14T67	101.7	0.97424	0.023
E14T68	101.8	0.97424	0.023
E14T69	101.9	0.97424	0.023
E14T70	102	0.97424	0.023
E14T71	102.1	0.97424	0.023
E14T72	102.2	0.97424	0.023
E14T73	102.3	0.97424	0.023
E14T74	102.4	0.97424	0.023
E14T75	102.5	0.97424	0.023
E14T76	102.6	0.97424	0.023
E14T77	102.7	0.97424	0.023
E14T78	102.8	0.97424	0.023
E14T79	102.9	0.97424	0.023
E14T80	103	0.97424	0.023
E14T81	103.1	0.97424	0.023
E14T82	103.2	0.97424	0.023
E14T83	103.3	0.97424	0.023
E14T84	103.4	0.97424	0.023
E14T85	103.5	0.97424	0.023
E14T86	103.6	0.97424	0.023
E14T87	103.7	0.97424	0.023
E14T88	103.8	0.97424	0.023
E14T89	103.9	0.97424	0.023
E14T90	104	0.97424	0.023
E14T91	104.1	0.97424	0.023
E14T92	104.2	0.97424	0.023
E14T93	104.3	0.97424	0.023
E14T94	104.4	0.97424	0.023
E14T95	104.5	0.97424	0.023
E14T96	104.6	0.97424	0.023
E14T97	104.7	0.97424	0.023
E14T98	104.8	0.97424	0.023
E14T99	104.9	0.97424	0.023
E14T100	200	0.71897	0.076428
E14T101	200.1	0.71897	0.076428
E14T102	200.2	0.71897	0.076428
E14T103	200.3	0.71897	0.076428
E14T104	200.4	0.71897	0.076428
E14T105	200.5	0.71897	0.076428
E14T106	200.6	0.71897	0.076428
E14T107	200.7	0.71897	0.076428
E14T108	200.8	0.71897	0.076428
E14T109	200.9	0.71897	0.076428
E14T110	201	0.71897	0.076428
E14T111	201.1	0.71897	0.076428
E14T112	201.2	0.71897	0.076428
E14T113	201.3	0.71897	0.076428
E14T114	201.4	0.71897	0.076428
E14T115	201.5	0.71897	0.076428
E14T116	201.6	0.71897	0.076428
E14T117	201.7	0.71897	0.076428
E14T118	201.8	0.71897	0.076428
E14T119	201.9	0.71897	0.076428
E14T120	202	0.71897	0.076428
E14T121	202.1	0.71897	0.076428
E14T122	202.2	0.71897	0.076428
E14T123	202.3	0.71897	0.076428
E14T124	202.4	0.71897	0.076428
E14T125	202.5	0.71897	0.076428
E14T126	202.6	0.71897	0.076428
E14T127	202.7	0.71897	0.076428
E14T128	202.8	0.71897	0.076428
E14T129	202.9	0.71897	0.076428
E14T130	203	0.71897	0.076428
E14T131	203.1	0.71897	0.076428
E14T132	203.2	0.71897	0.076428
E14T133	203.3	0.71897	0.076428
E14T134	203.4	0.71897	0.076428
E14T135	203.5	0.71897	0.076428
E14T136	203.6	0.71897	0.076428
E14T137	203.7	0.71897	0.076428
E14T138	203.8	0.71897	0.076428
E14T139	203.9	0.71897	0.076428
E14T140	204	0.71897	0.076428
E14T141	204.1	0.71897	0.076428
E14T142	204.2	0.71897	0.076428
E14T143	204.3	0.71897	0.076428
E14T144	204.4	0.71897	0.076428
E14T145	204.5	0.71897	0.076428
E14T146	204.6	0.71897	0.076428
E14T147	204.7	0.71897	0.076428
E14T148	204.8	0.71897	0.076428
E14T149	204.9	0.71897	0.076428
E14T150	400	0.28571	0.077011
E14T151	400.1	0.28571	0.077011
E14T152	400.2	0.28571	0.077011
E14T153	400.3	0.28571	0.077011
E14T154	400.4	0.28571	0.077011
E14T155	400.5	0.28571	0.077011
E14T156	400.6	0.28571	0.077011
E14T157	400.7	0.28571	0.077011
E14T158	400.8	0.28571	0.077011
E14T159	400.9	0.28571	0.077011
E14T160	401	0.28571	0.077011
