!!SBtab	SBtabVersion='1.0'  TableType='QuantityMatrix'  TableName='E27'  TableTitle=''  Document='MGluR'														
!TimePoint	!Time	>Y3	SD_Y3	>Y5	SD_Y5	>Y6	SD_Y6	>Y7	SD_Y7	>Y10	SD_Y10	>Y13	SD_Y13	>Y14	SD_Y14
E27T0	0	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T1	1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T2	2	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T3	3	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T4	4	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T5	5	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T6	6	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T7	7	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T8	8	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T9	9	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T10	10	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T11	11	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T12	12	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T13	13	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T14	14	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T15	15	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T16	16	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T17	17	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T18	18	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T19	19	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T20	20	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T21	21	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T22	22	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T23	23	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T24	24	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T25	25	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T26	26	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T27	27	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T28	28	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T29	29	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T30	30	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T31	31	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T32	32	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T33	33	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T34	34	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T35	35	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T36	36	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T37	37	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T38	38	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T39	39	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T40	40	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T41	41	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T42	42	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T43	43	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T44	44	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T45	45	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T46	46	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T47	47	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T48	48	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T49	49	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T50	50	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
E27T51	51	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1	0	0.1
