!!SBtab	Document='MGluR' TableName='Reaction' TableType='Reaction' TableTitle='MGluR Reaction Fluxes' SBtabVersion='1.0'				
!ID	!Name	!KineticLaw	!IsReversible	!Location	!ReactionFormula
R1	ReactionFlux1	kf_1*Glu*mGluR - kr_1*Glu_mGluR	TRUE	Neuron	Glu + mGluR <=> Glu_mGluR
R2	ReactionFlux2	kf_2*Glu*mGluR_Gqbc - kr_2*Glu_mGluR_Gqbc	TRUE	Neuron	Glu + mGluR_Gqbc <=> Glu_mGluR_Gqbc
R3	ReactionFlux3	kf_3*Glu*mGluR_Gqabc - kr_3*Glu_mGluR_Gqabc	TRUE	Neuron	Glu + mGluR_Gqabc <=> Glu_mGluR_Gqabc
R4	ReactionFlux4	kf_4*Glu*mGluR_Gqabc_PLC - kr_4*Glu_mGluR_Gqabc_PLC	TRUE	Neuron	Glu + mGluR_Gqabc_PLC <=> Glu_mGluR_Gqabc_PLC
R5	ReactionFlux5	kf_5*mGluR*Gqbc - kr_5*mGluR_Gqbc	TRUE	Neuron	mGluR + Gqbc <=> mGluR_Gqbc
R6	ReactionFlux6	kf_6*Glu_mGluR*Gqbc - kr_6*Glu_mGluR_Gqbc	TRUE	Neuron	Glu_mGluR + Gqbc <=> Glu_mGluR_Gqbc
R7	ReactionFlux7	kf_7*mGluR*Gqabc - kr_7*mGluR_Gqabc	TRUE	Neuron	mGluR + Gqabc <=> mGluR_Gqabc
R8	ReactionFlux8	kf_8*Glu_mGluR*Gqabc - kr_8*Glu_mGluR_Gqabc	TRUE	Neuron	Glu_mGluR + Gqabc <=> Glu_mGluR_Gqabc
R9	ReactionFlux9	kf_9*mGluR_Gqbc*GqaGDP	FALSE	Neuron	mGluR_Gqbc + GqaGDP <=> mGluR_Gqabc
R10	ReactionFlux10	kf_10*Glu_mGluR_Gqbc*GqaGDP	FALSE	Neuron	Glu_mGluR_Gqbc + GqaGDP <=> Glu_mGluR_Gqabc
R11	ReactionFlux11	kf_11*mGluR_Gqabc	FALSE	Neuron	mGluR_Gqabc <=> mGluR_Gqbc + GqaGTP
R12	ReactionFlux12	kf_12*Glu_mGluR_Gqabc	FALSE	Neuron	Glu_mGluR_Gqabc <=> Glu_mGluR_Gqbc + GqaGTP
